pclass,survived,sex,age,sibsp,parch,fare,embarked
Upper,Yes,female,29,0,0,211.3375,S
Upper,Yes,male,0.9167,1,2,151.55,S
Upper,No,female,2,1,2,151.55,S
Upper,No,male,30,1,2,151.55,S
Upper,No,female,25,1,2,151.55,S
Upper,Yes,male,48,0,0,26.55,S
Upper,Yes,female,63,1,0,77.9583,S
Upper,No,male,39,0,0,0,S
Upper,Yes,female,53,2,0,51.4792,S
Upper,No,male,71,0,0,49.5042,C
Upper,No,male,47,1,0,227.525,C
Upper,Yes,female,18,1,0,227.525,C
Upper,Yes,female,24,0,0,69.3,C
Upper,Yes,female,26,0,0,78.85,S
Upper,Yes,male,80,0,0,30,S
Upper,No,male,NA,0,0,25.925,S
Upper,No,male,24,0,1,247.5208,C
Upper,Yes,female,50,0,1,247.5208,C
Upper,Yes,female,32,0,0,76.2917,C
Upper,No,male,36,0,0,75.2417,C
Upper,Yes,male,37,1,1,52.5542,S
Upper,Yes,female,47,1,1,52.5542,S
Upper,Yes,male,26,0,0,30,C
Upper,Yes,female,42,0,0,227.525,C
Upper,Yes,female,29,0,0,221.7792,S
Upper,No,male,25,0,0,26,C
Upper,Yes,male,25,1,0,91.0792,C
Upper,Yes,female,19,1,0,91.0792,C
Upper,Yes,female,35,0,0,135.6333,S
Upper,Yes,male,28,0,0,26.55,S
Upper,No,male,45,0,0,35.5,S
Upper,Yes,male,40,0,0,31,C
Upper,Yes,female,30,0,0,164.8667,S
Upper,Yes,female,58,0,0,26.55,S
Upper,No,male,42,0,0,26.55,S
Upper,Yes,female,45,0,0,262.375,C
Upper,Yes,female,22,0,1,55,S
Upper,Yes,male,NA,0,0,26.55,S
Upper,No,male,41,0,0,30.5,S
Upper,No,male,48,0,0,50.4958,C
Upper,No,male,NA,0,0,39.6,C
Upper,Yes,female,44,0,0,27.7208,C
Upper,Yes,female,59,2,0,51.4792,S
Upper,Yes,female,60,0,0,76.2917,C
Upper,Yes,female,41,0,0,134.5,C
Upper,No,male,45,0,0,26.55,S
Upper,No,male,NA,0,0,31,S
Upper,Yes,male,42,0,0,26.2875,S
Upper,Yes,female,53,0,0,27.4458,C
Upper,Yes,male,36,0,1,512.3292,C
Upper,Yes,female,58,0,1,512.3292,C
Upper,No,male,33,0,0,5,S
Upper,No,male,28,0,0,47.1,S
Upper,No,male,17,0,0,47.1,S
Upper,Yes,male,11,1,2,120,S
Upper,Yes,female,14,1,2,120,S
Upper,Yes,male,36,1,2,120,S
Upper,Yes,female,36,1,2,120,S
Upper,No,male,49,0,0,26,S
Upper,Yes,female,NA,0,0,27.7208,C
Upper,No,male,36,1,0,78.85,S
Upper,Yes,female,76,1,0,78.85,S
Upper,No,male,46,1,0,61.175,S
Upper,Yes,female,47,1,0,61.175,S
Upper,Yes,male,27,1,0,53.1,S
